class_id,seed,set_id,left,right,selected_left,selected_right,absolute_difference,helped,hurt
384,81,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.3623123898561608,True,False
384,81,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.019893606942730464,True,False
384,82,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.013095102885529286,True,False
384,82,primary_d0adb13a6bdf,candidate_B,stage_only,mlp_up_gate_all_blocks_stage15_w4,mlp_up_gate_all_blocks_stage4_w4,-0.5279563083001337,True,False
384,82,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.0147287028679699,True,False
462,79,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage10_w4,-0.993742967071441,True,False
462,79,primary_d82bcfdaeedc,candidate_B,stage_only,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage4_w6,-0.0265740462867008,True,False
462,80,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.020424106418591492,False,True
462,81,primary_52112c337d08,candidate_B,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.000516195418004628,False,True
462,81,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.0383808951960418,True,False
462,82,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,0.17747436950787682,False,True
511,80,primary_52112c337d08,candidate_B,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.0017178382206992603,False,True
511,80,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.039295116869947584,True,False
511,81,primary_52112c337d08,candidate_B,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,-0.0038416307218085456,True,False
511,81,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.009967887358186538,False,True
511,82,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.021289230814375074,True,False
568,80,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,-0.47294418894695045,True,False
568,81,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,-0.23622342956520012,True,False
568,82,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.2536107929746975,True,False
679,81,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,0.22206505646619235,False,True
679,82,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.010771916954148246,False,True
712,79,primary_52112c337d08,candidate_B,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.01324761669354757,False,True
712,81,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.11756197381990666,True,False
712,81,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.03819792654669743,True,False
712,82,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.034931508804675104,True,False
780,79,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.12454283687469567,True,False
780,79,primary_52112c337d08,candidate_B,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.005148890038924492,False,True
780,80,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,0.8441270679809918,False,True
780,81,primary_d82bcfdaeedc,candidate_B,stage_only,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage4_w6,-0.008352461881312227,True,False
780,81,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.16493956672934473,True,False
780,82,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.06652160997214196,True,False
780,82,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.026223767050197466,False,True
870,79,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,0.11159841249838104,False,True
870,80,primary_494f26df6416,candidate_B,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,0.19428626960483086,False,True
870,80,primary_d82bcfdaeedc,candidate_B,stage_only,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage10_w6,0.022863779235024136,False,True
870,81,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.09900345182813906,True,False
870,82,primary_d82bcfdaeedc,candidate_B,stage_only,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage4_w6,-0.1201768583923695,True,False
870,82,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.12513182774455345,True,False
888,79,primary_52112c337d08,candidate_B,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.015618026738934532,False,True
888,79,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.0211866610397351,True,False
888,81,primary_52112c337d08,candidate_B,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,-0.008459435134454907,True,False
888,81,primary_d82bcfdaeedc,candidate_B,stage_only,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage4_w6,0.0016076310719910225,False,True
888,82,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.20710712799147754,True,False
975,82,primary_da06c09aa41a,candidate_B,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.02196624854974516,False,True
19,79,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.045778057647737555,True,False
19,79,primary_52112c337d08,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.0007670826726666746,False,True
19,79,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.06649978278773006,False,True
19,80,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage10_w4,-0.11365134000378416,True,False
19,80,primary_d82bcfdaeedc,aligned_actual_source,stage_only,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage4_w6,0.025417196992179928,False,True
19,81,primary_d82bcfdaeedc,aligned_actual_source,stage_only,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage4_w6,-0.03728428777958471,True,False
19,81,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.5810441569715294,True,False
85,79,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.10474052644612183,True,False
85,79,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,9.454350353621521e-05,False,True
85,81,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,-0.007335493228424694,True,False
85,82,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.001292604890295479,True,False
131,79,primary_52112c337d08,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.009563111837451286,False,True
131,80,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,0.16089950683233667,False,True
131,81,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage10_w4,-0.36774391488779656,True,False
131,82,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.02137730303678609,False,True
224,79,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.009195865268566188,False,True
224,80,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,-0.03350821545501505,True,False
224,81,primary_52112c337d08,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.0019054242641374222,False,True
224,81,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.008592939597519946,False,True
224,82,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.015170154264922072,False,True
301,79,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,1.4823460099755685,False,True
301,79,primary_52112c337d08,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.083511730195994,False,True
301,79,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.01118871860404623,False,True
301,81,primary_52112c337d08,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.7670506094364526,False,True
301,82,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.015654077588706627,True,False
345,79,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,0.03684068087152076,False,True
345,79,primary_52112c337d08,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.0013217372152780592,False,True
345,81,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage10_w4,-0.058027758842687405,True,False
345,81,primary_d82bcfdaeedc,aligned_actual_source,stage_only,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage4_w6,0.007792187465426533,False,True
345,82,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,0.10946995368067292,False,True
345,82,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.02688838551387107,True,False
384,79,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.13627560553493367,True,False
384,79,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.019368207543383417,False,True
384,80,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.0023136638123268938,False,True
384,81,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.3623123898561608,True,False
384,81,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.019893606942730464,True,False
384,82,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.013095102885529286,True,False
384,82,primary_d0adb13a6bdf,aligned_actual_source,stage_only,mlp_up_gate_all_blocks_stage15_w4,mlp_up_gate_all_blocks_stage4_w4,-0.5279563083001337,True,False
384,82,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.0147287028679699,True,False
462,79,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage10_w4,-0.993742967071441,True,False
462,79,primary_d82bcfdaeedc,aligned_actual_source,stage_only,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage4_w6,-0.0265740462867008,True,False
462,80,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.020424106418591492,False,True
462,81,primary_52112c337d08,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.000516195418004628,False,True
462,81,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.0383808951960418,True,False
462,82,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,0.17747436950787682,False,True
511,80,primary_52112c337d08,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.0017178382206992603,False,True
511,80,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.039295116869947584,True,False
511,81,primary_52112c337d08,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,-0.0038416307218085456,True,False
511,81,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.009967887358186538,False,True
511,82,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.021289230814375074,True,False
568,80,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,-0.47294418894695045,True,False
568,81,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,-0.23622342956520012,True,False
568,82,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.2536107929746975,True,False
679,81,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,0.22206505646619235,False,True
679,82,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.010771916954148246,False,True
712,79,primary_52112c337d08,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.01324761669354757,False,True
712,81,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.11756197381990666,True,False
712,81,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.03819792654669743,True,False
712,82,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.034931508804675104,True,False
780,79,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.12454283687469567,True,False
780,79,primary_52112c337d08,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.005148890038924492,False,True
780,80,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,0.8441270679809918,False,True
780,81,primary_d82bcfdaeedc,aligned_actual_source,stage_only,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage4_w6,-0.008352461881312227,True,False
780,81,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.16493956672934473,True,False
780,82,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.06652160997214196,True,False
780,82,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.026223767050197466,False,True
870,79,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,0.11159841249838104,False,True
870,80,primary_494f26df6416,aligned_actual_source,stage_only,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage10_w4,0.19428626960483086,False,True
870,80,primary_d82bcfdaeedc,aligned_actual_source,stage_only,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage10_w6,0.022863779235024136,False,True
870,81,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.09900345182813906,True,False
870,82,primary_d82bcfdaeedc,aligned_actual_source,stage_only,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage4_w6,-0.1201768583923695,True,False
870,82,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.12513182774455345,True,False
888,79,primary_52112c337d08,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.015618026738934532,False,True
888,79,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.0211866610397351,True,False
888,81,primary_52112c337d08,aligned_actual_source,stage_only,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,-0.008459435134454907,True,False
888,81,primary_d82bcfdaeedc,aligned_actual_source,stage_only,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage4_w6,0.0016076310719910225,False,True
888,82,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.20710712799147754,True,False
975,82,primary_da06c09aa41a,aligned_actual_source,stage_only,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.02196624854974516,False,True
19,79,primary_494f26df6416,aligned_actual_source,aligned_donor_source,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,-0.045778057647737555,True,False
19,79,primary_52112c337d08,aligned_actual_source,aligned_donor_source,attention_output_all_blocks_stage4_w6,attention_output_all_blocks_stage15_w6,0.0007670826726666746,False,True
19,79,primary_d82bcfdaeedc,aligned_actual_source,aligned_donor_source,mlp_up_gate_all_blocks_stage4_w6,mlp_up_gate_all_blocks_stage15_w6,-0.008799948805005894,True,False
19,79,primary_da06c09aa41a,aligned_actual_source,aligned_donor_source,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,0.06649978278773006,False,True
19,80,primary_494f26df6416,aligned_actual_source,aligned_donor_source,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage10_w4,-0.11365134000378416,True,False
19,80,primary_52112c337d08,aligned_actual_source,aligned_donor_source,attention_output_all_blocks_stage15_w6,attention_output_all_blocks_stage10_w6,0.009518136101974047,False,True
19,80,primary_d0adb13a6bdf,aligned_actual_source,aligned_donor_source,mlp_up_gate_all_blocks_stage4_w4,mlp_up_gate_all_blocks_stage10_w4,-6.578613025248031,True,False
19,80,primary_d82bcfdaeedc,aligned_actual_source,aligned_donor_source,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage10_w6,-0.08037819898294173,True,False
19,80,primary_ec9365fcc9ef,aligned_actual_source,aligned_donor_source,adaln_conditioning_all_blocks_stage15_w4,adaln_conditioning_all_blocks_stage10_w4,-0.17626023112677558,True,False
19,81,primary_494f26df6416,aligned_actual_source,aligned_donor_source,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage15_w4,2.240712260634041,False,True
19,81,primary_da06c09aa41a,aligned_actual_source,aligned_donor_source,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,-0.5810441569715294,True,False
19,82,primary_d0adb13a6bdf,aligned_actual_source,aligned_donor_source,mlp_up_gate_all_blocks_stage4_w4,mlp_up_gate_all_blocks_stage10_w4,-0.7099660443965945,True,False
19,82,primary_d82bcfdaeedc,aligned_actual_source,aligned_donor_source,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage10_w6,0.0009753067779030289,False,True
