family,class_id,seed,set_id,left,right,left_selected,right_selected,decision_changed,absolute_difference,normalized_difference,estimand,unit,source_observations_sha256
primary,19,79,primary_705fa28644fa,candidate_B,energy,output_conditioning_projection_stage15_w6,output_conditioning_projection_stage15_w6,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_78aa853a8dcb,candidate_B,energy,output_head_projection_stage15_w4,output_head_projection_stage15_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_8748e8c257a6,candidate_B,energy,output_head_projection_stage15_w8,output_head_projection_stage15_w8,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_8bc97f489508,candidate_B,energy,output_conditioning_projection_stage15_w8,output_conditioning_projection_stage15_w8,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_903cdd7eae0a,candidate_B,energy,attention_output_all_blocks_stage15_w8,attention_output_all_blocks_stage4_w8,True,-0.007662042971560368,-1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_9688e435275c,candidate_B,energy,adaln_modulation_projection_all_blocks_stage15_w4,adaln_modulation_projection_all_blocks_stage15_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_98d1f6d8741d,candidate_B,energy,adaln_modulation_projection_all_blocks_stage15_w8,adaln_modulation_projection_all_blocks_stage15_w8,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_a8226b7ab73c,candidate_B,energy,adaln_conditioning_all_blocks_stage15_w8,adaln_conditioning_all_blocks_stage10_w8,True,-0.001441534372759179,-0.021911256049678,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_abefa8b91ecd,candidate_B,energy,mlp_down_all_blocks_stage15_w4,mlp_down_all_blocks_stage15_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_c3b87c54a36d,candidate_B,energy,qkv_all_blocks_stage15_w6,qkv_all_blocks_stage15_w6,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_d0adb13a6bdf,candidate_B,energy,mlp_up_gate_all_blocks_stage4_w4,mlp_up_gate_all_blocks_stage4_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_d82bcfdaeedc,candidate_B,energy,mlp_up_gate_all_blocks_stage4_w6,mlp_up_gate_all_blocks_stage4_w6,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_da06c09aa41a,candidate_B,energy,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,True,0.06649978278773006,1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_e3ec35ff3518,candidate_B,energy,input_patch_projection_stage15_w8,input_patch_projection_stage15_w8,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_ec9365fcc9ef,candidate_B,energy,adaln_conditioning_all_blocks_stage15_w4,adaln_conditioning_all_blocks_stage10_w4,True,-0.059451381035444256,-0.03113296074139555,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_f52ef9bf6b5e,candidate_B,energy,output_head_projection_stage15_w6,output_head_projection_stage15_w6,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,79,primary_f948566cda47,candidate_B,energy,mlp_down_all_blocks_stage15_w6,mlp_down_all_blocks_stage15_w6,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_019d7c31a48b,candidate_B,energy,mlp_up_gate_all_blocks_stage15_w8,mlp_up_gate_all_blocks_stage4_w8,True,-0.008738662133268349,-1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_39fca70e9e59,candidate_B,energy,input_patch_projection_stage15_w4,input_patch_projection_stage15_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_459b032d584a,candidate_B,energy,qkv_all_blocks_stage15_w8,qkv_all_blocks_stage15_w8,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_494f26df6416,candidate_B,energy,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage10_w4,True,-0.11365134000378416,-0.6189945919559908,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_52112c337d08,candidate_B,energy,attention_output_all_blocks_stage15_w6,attention_output_all_blocks_stage10_w6,True,0.009518136101974047,1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_5303e1fccdc7,candidate_B,energy,mlp_down_all_blocks_stage15_w8,mlp_down_all_blocks_stage10_w8,True,-0.03085849086939163,-0.9681761206516053,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_58a05bddec17,candidate_B,energy,output_conditioning_projection_stage15_w4,output_conditioning_projection_stage15_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_59152023723c,candidate_B,energy,qkv_all_blocks_stage15_w4,qkv_all_blocks_stage15_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_5e743138a0d1,candidate_B,energy,adaln_modulation_projection_all_blocks_stage15_w6,adaln_modulation_projection_all_blocks_stage15_w6,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_6c830b5fb730,candidate_B,energy,input_patch_projection_stage15_w6,input_patch_projection_stage15_w6,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_705fa28644fa,candidate_B,energy,output_conditioning_projection_stage15_w6,output_conditioning_projection_stage15_w6,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_78aa853a8dcb,candidate_B,energy,output_head_projection_stage15_w4,output_head_projection_stage15_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_8748e8c257a6,candidate_B,energy,output_head_projection_stage15_w8,output_head_projection_stage15_w8,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_8bc97f489508,candidate_B,energy,output_conditioning_projection_stage15_w8,output_conditioning_projection_stage15_w8,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_903cdd7eae0a,candidate_B,energy,attention_output_all_blocks_stage15_w8,attention_output_all_blocks_stage10_w8,True,-0.007583479979885512,-1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_9688e435275c,candidate_B,energy,adaln_modulation_projection_all_blocks_stage15_w4,adaln_modulation_projection_all_blocks_stage10_w4,True,-0.16267113839913344,-0.18260073839615476,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_98d1f6d8741d,candidate_B,energy,adaln_modulation_projection_all_blocks_stage15_w8,adaln_modulation_projection_all_blocks_stage15_w8,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_a8226b7ab73c,candidate_B,energy,adaln_conditioning_all_blocks_stage15_w8,adaln_conditioning_all_blocks_stage10_w8,True,-0.013152356189252144,-1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_abefa8b91ecd,candidate_B,energy,mlp_down_all_blocks_stage15_w4,mlp_down_all_blocks_stage15_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_c3b87c54a36d,candidate_B,energy,qkv_all_blocks_stage15_w6,qkv_all_blocks_stage15_w6,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_d0adb13a6bdf,candidate_B,energy,mlp_up_gate_all_blocks_stage4_w4,mlp_up_gate_all_blocks_stage4_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_d82bcfdaeedc,candidate_B,energy,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage4_w6,True,0.025417196992179928,0.24024861155732066,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_da06c09aa41a,candidate_B,energy,adaln_conditioning_all_blocks_stage10_w6,adaln_conditioning_all_blocks_stage10_w6,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_e3ec35ff3518,candidate_B,energy,input_patch_projection_stage15_w8,input_patch_projection_stage15_w8,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_ec9365fcc9ef,candidate_B,energy,adaln_conditioning_all_blocks_stage15_w4,adaln_conditioning_all_blocks_stage10_w4,True,-0.17626023112677558,-0.09134161698731745,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_f52ef9bf6b5e,candidate_B,energy,output_head_projection_stage15_w6,output_head_projection_stage15_w6,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,80,primary_f948566cda47,candidate_B,energy,mlp_down_all_blocks_stage15_w6,mlp_down_all_blocks_stage15_w6,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_019d7c31a48b,candidate_B,energy,mlp_up_gate_all_blocks_stage15_w8,mlp_up_gate_all_blocks_stage4_w8,True,-0.00990013831324177,-0.34559979517883466,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_39fca70e9e59,candidate_B,energy,input_patch_projection_stage15_w4,input_patch_projection_stage15_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_459b032d584a,candidate_B,energy,qkv_all_blocks_stage15_w8,qkv_all_blocks_stage15_w8,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_494f26df6416,candidate_B,energy,attention_output_all_blocks_stage4_w4,attention_output_all_blocks_stage4_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_52112c337d08,candidate_B,energy,attention_output_all_blocks_stage15_w6,attention_output_all_blocks_stage4_w6,True,-0.03140002884526893,-0.07789092635889269,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_5303e1fccdc7,candidate_B,energy,mlp_down_all_blocks_stage15_w8,mlp_down_all_blocks_stage4_w8,True,-0.04455123108510861,-0.3406608851191458,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_58a05bddec17,candidate_B,energy,output_conditioning_projection_stage15_w4,output_conditioning_projection_stage15_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_59152023723c,candidate_B,energy,qkv_all_blocks_stage15_w4,qkv_all_blocks_stage15_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_5e743138a0d1,candidate_B,energy,adaln_modulation_projection_all_blocks_stage15_w6,adaln_modulation_projection_all_blocks_stage10_w6,True,-0.006131087285950799,-0.008672109666402293,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_6c830b5fb730,candidate_B,energy,input_patch_projection_stage15_w6,input_patch_projection_stage15_w6,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_705fa28644fa,candidate_B,energy,output_conditioning_projection_stage15_w6,output_conditioning_projection_stage15_w6,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_78aa853a8dcb,candidate_B,energy,output_head_projection_stage15_w4,output_head_projection_stage15_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_8748e8c257a6,candidate_B,energy,output_head_projection_stage15_w8,output_head_projection_stage15_w8,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_8bc97f489508,candidate_B,energy,output_conditioning_projection_stage15_w8,output_conditioning_projection_stage15_w8,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_903cdd7eae0a,candidate_B,energy,attention_output_all_blocks_stage15_w8,attention_output_all_blocks_stage4_w8,True,-0.0173882372550338,-0.42216998528725225,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_9688e435275c,candidate_B,energy,adaln_modulation_projection_all_blocks_stage15_w4,adaln_modulation_projection_all_blocks_stage15_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_98d1f6d8741d,candidate_B,energy,adaln_modulation_projection_all_blocks_stage15_w8,adaln_modulation_projection_all_blocks_stage15_w8,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_a8226b7ab73c,candidate_B,energy,adaln_conditioning_all_blocks_stage15_w8,adaln_conditioning_all_blocks_stage4_w8,True,-0.017777383510576783,-0.24758933734457866,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_abefa8b91ecd,candidate_B,energy,mlp_down_all_blocks_stage15_w4,mlp_down_all_blocks_stage15_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_c3b87c54a36d,candidate_B,energy,qkv_all_blocks_stage15_w6,qkv_all_blocks_stage15_w6,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_d0adb13a6bdf,candidate_B,energy,mlp_up_gate_all_blocks_stage4_w4,mlp_up_gate_all_blocks_stage4_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_d82bcfdaeedc,candidate_B,energy,mlp_up_gate_all_blocks_stage15_w6,mlp_up_gate_all_blocks_stage4_w6,True,-0.03728428777958471,-0.025860061640014576,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_da06c09aa41a,candidate_B,energy,adaln_conditioning_all_blocks_stage15_w6,adaln_conditioning_all_blocks_stage10_w6,True,-0.5810441569715294,-1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_e3ec35ff3518,candidate_B,energy,input_patch_projection_stage15_w8,input_patch_projection_stage15_w8,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_ec9365fcc9ef,candidate_B,energy,adaln_conditioning_all_blocks_stage15_w4,adaln_conditioning_all_blocks_stage10_w4,True,-40.73845567995546,-1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_f52ef9bf6b5e,candidate_B,energy,output_head_projection_stage15_w6,output_head_projection_stage15_w6,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,81,primary_f948566cda47,candidate_B,energy,mlp_down_all_blocks_stage15_w6,mlp_down_all_blocks_stage15_w6,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,82,primary_019d7c31a48b,candidate_B,energy,mlp_up_gate_all_blocks_stage15_w8,mlp_up_gate_all_blocks_stage4_w8,True,-0.006861837980977727,-1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,82,primary_39fca70e9e59,candidate_B,energy,input_patch_projection_stage15_w4,input_patch_projection_stage15_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,82,primary_459b032d584a,candidate_B,energy,qkv_all_blocks_stage15_w8,qkv_all_blocks_stage15_w8,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,82,primary_494f26df6416,candidate_B,energy,attention_output_all_blocks_stage15_w4,attention_output_all_blocks_stage4_w4,True,-0.02208407545549565,-0.33311919726154626,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,82,primary_52112c337d08,candidate_B,energy,attention_output_all_blocks_stage15_w6,attention_output_all_blocks_stage4_w6,True,-0.012392113914017951,-0.46294533870241766,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,82,primary_5303e1fccdc7,candidate_B,energy,mlp_down_all_blocks_stage15_w8,mlp_down_all_blocks_stage10_w8,True,-0.005752095426259984,-0.15529771205689968,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,82,primary_58a05bddec17,candidate_B,energy,output_conditioning_projection_stage15_w4,output_conditioning_projection_stage15_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,82,primary_59152023723c,candidate_B,energy,qkv_all_blocks_stage15_w4,qkv_all_blocks_stage15_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,82,primary_5e743138a0d1,candidate_B,energy,adaln_modulation_projection_all_blocks_stage15_w6,adaln_modulation_projection_all_blocks_stage10_w6,True,-0.03536862248375882,-0.34006034296814636,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,82,primary_6c830b5fb730,candidate_B,energy,input_patch_projection_stage15_w6,input_patch_projection_stage15_w6,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,82,primary_705fa28644fa,candidate_B,energy,output_conditioning_projection_stage15_w6,output_conditioning_projection_stage15_w6,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,82,primary_78aa853a8dcb,candidate_B,energy,output_head_projection_stage15_w4,output_head_projection_stage15_w4,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,82,primary_8748e8c257a6,candidate_B,energy,output_head_projection_stage15_w8,output_head_projection_stage15_w8,False,0.0,0.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,82,primary_8bc97f489508,candidate_B,energy,output_conditioning_projection_stage15_w8,output_conditioning_projection_stage10_w8,True,-0.00356036633732515,-0.33357379137658405,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,19,82,primary_903cdd7eae0a,candidate_B,energy,attention_output_all_blocks_stage15_w8,attention_output_all_blocks_stage4_w8,True,-0.005726971496585519,-1.0,retrospective_paired_unit_difference,class_seed_set,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
