family,set_id,left,right,units,changed,helped,hurt,same_risk,estimand,source_observations_sha256
primary,primary_019d7c31a48b,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,candidate_B,latest_stage,64,32,19,13,32,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,candidate_B,latest_stage,64,13,2,11,51,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5303e1fccdc7,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_58a05bddec17,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_59152023723c,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5e743138a0d1,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_6c830b5fb730,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_705fa28644fa,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_78aa853a8dcb,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8748e8c257a6,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8bc97f489508,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_903cdd7eae0a,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_9688e435275c,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_98d1f6d8741d,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_a8226b7ab73c,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_abefa8b91ecd,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_c3b87c54a36d,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d0adb13a6bdf,candidate_B,latest_stage,64,61,33,28,3,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d82bcfdaeedc,candidate_B,latest_stage,64,24,13,11,40,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_da06c09aa41a,candidate_B,latest_stage,64,32,25,7,32,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_e3ec35ff3518,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_ec9365fcc9ef,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f52ef9bf6b5e,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f948566cda47,candidate_B,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,hybrid,latest_stage,1728,162,92,70,1566,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,hybrid,latest_stage,64,32,19,13,32,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,hybrid,latest_stage,64,13,2,11,51,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5303e1fccdc7,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_58a05bddec17,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_59152023723c,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5e743138a0d1,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_6c830b5fb730,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_705fa28644fa,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_78aa853a8dcb,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8748e8c257a6,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8bc97f489508,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_903cdd7eae0a,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_9688e435275c,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_98d1f6d8741d,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_a8226b7ab73c,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_abefa8b91ecd,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_c3b87c54a36d,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d0adb13a6bdf,hybrid,latest_stage,64,61,33,28,3,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d82bcfdaeedc,hybrid,latest_stage,64,24,13,11,40,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_da06c09aa41a,hybrid,latest_stage,64,32,25,7,32,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_e3ec35ff3518,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_ec9365fcc9ef,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f52ef9bf6b5e,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f948566cda47,hybrid,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,constant,latest_stage,1728,192,102,90,1536,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,constant,latest_stage,64,64,30,34,0,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5303e1fccdc7,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_58a05bddec17,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_59152023723c,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5e743138a0d1,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_6c830b5fb730,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_705fa28644fa,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_78aa853a8dcb,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8748e8c257a6,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8bc97f489508,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_903cdd7eae0a,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_9688e435275c,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_98d1f6d8741d,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_a8226b7ab73c,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_abefa8b91ecd,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_c3b87c54a36d,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d0adb13a6bdf,constant,latest_stage,64,64,33,31,0,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d82bcfdaeedc,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_da06c09aa41a,constant,latest_stage,64,64,39,25,0,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_e3ec35ff3518,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_ec9365fcc9ef,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f52ef9bf6b5e,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f948566cda47,constant,latest_stage,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,hybrid,energy,1728,611,547,64,1117,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,hybrid,energy,64,64,64,0,0,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,hybrid,energy,64,6,6,0,58,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
